task_id,submit_time,first_start_time,completion_time,waiting_time,turnaround_time
0,21.381645083218007,3330.300295440811,3355.9795912190857,3308.9186503575934,3334.597946135868
1,57.988573919459284,3355.9795912190857,3379.126620380539,3297.9910172996265,3321.1380464610797
2,74.65555762491967,3379.126620380539,3400.9005163594666,3304.471062755619,3326.244958734547
3,97.92955395009304,3400.9005163594666,3423.4447561189118,3302.9709624093734,3325.5152021688186
4,111.52909227888603,3423.4447561189118,3447.8096424027863,3311.915663840026,3336.2805501239004
5,140.35502247699688,3447.8096424027863,3470.8982370778504,3307.4546199257893,3330.5432146008534
6,155.40579727353662,3470.8982370778504,3492.576247541565,3315.4924398043136,3337.170450268028
7,156.86740571437394,3492.576247541565,3515.1305428430023,3335.708841827191,3358.2631371286284
8,186.72951391855187,3515.1305428430023,3536.6675251408997,3328.4010289244507,3349.938011222348
9,227.8232058724515,3536.6675251408997,3560.8654197141113,3308.844319268448,3333.0422138416598
10,334.5999181157382,3560.8654197141113,3584.1613248273316,3226.2655015983732,3249.5614067115935
11,344.51549034267447,3584.1613248273316,3607.393300144333,3239.645834484657,3262.8778098016583
12,416.7131508474931,3607.393300144333,3629.050214616913,3190.6801492968398,3212.3370637694197
13,502.2234628787809,3629.050214616913,3652.8887782975617,3126.826751738132,3150.6653154187807
14,539.5035570481245,3652.8887782975617,3674.726788847107,3113.385221249437,3135.2232317989824
15,551.7814993715057,3674.726788847107,3696.4146505280914,3122.9452894756014,3144.633151156586
16,561.48686121887,3696.4146505280914,3718.5464077874603,3134.927789309221,3157.05954656859
17,597.4069069487267,3718.5464077874603,3741.4715891763153,3121.1395008387335,3144.0646822275885
18,631.0675163356633,3741.4715891763153,3762.519217102188,3110.404072840652,3131.451700766525
19,680.5808816401437,3762.519217102188,3785.1321402474823,3081.9383354620445,3104.5512586073387
20,728.1469759373595,3785.1321402474823,3807.0779398366394,3056.985164310123,3078.93096389928
21,735.0781111602789,3807.0779398366394,3828.423035947937,3071.9998286763603,3093.344924787658
22,780.390596294183,3828.423035947937,3849.445002882141,3048.032439653754,3069.054406587958
23,828.9135590360163,3849.445002882141,3873.7830332204285,3020.5314438461246,3044.869474184412
24,872.3521022052886,3873.7830332204285,3896.0130973740997,3001.43093101514,3023.660995168811
25,892.125598314682,3896.0130973740997,3917.657226411957,3003.8874990594177,3025.5316280972747
26,941.290778774191,3917.657226411957,3940.3037823125305,2976.3664476377658,2999.0130035383395
27,958.0057725934232,3940.3037823125305,3961.8395322247925,2982.2980097191075,3003.8337596313695
28,966.9907060023387,3961.8395322247925,3983.0068660661163,2994.8488262224537,3016.0161600637775
29,1006.8807746515151,3983.0068660661163,4003.9044757768097,2976.1260914146014,2997.023701125295
30,1055.2289765144765,4003.9044757768097,4026.3565426751557,2948.6754992623332,2971.127566160679
31,1090.8530754025505,4026.3565426751557,4047.6454626008453,2935.503467272605,2956.792387198295
32,1165.6210584721564,4047.6454626008453,4071.1545427724304,2882.0244041286887,2905.533484300274
33,1178.093237850233,4071.1545427724304,4092.770297853607,2893.0613049221975,2914.677060003374
34,1189.6531328057883,4092.770297853607,4115.218867389816,2903.117165047819,2925.565734584028
35,1203.1952194169046,4115.218867389816,4136.690917579788,2912.023647972912,2933.495698162884
36,1235.2435026535843,4136.690917579788,4158.387637941498,2901.447414926204,2923.1441352879137
37,1252.2679342377437,4158.387637941498,4181.036383955139,2906.119703703754,2928.7684497173955
38,1268.6652270395157,4181.036383955139,4202.207191793579,2912.3711569156235,2933.5419647540634
39,1326.1975175219593,4202.207191793579,4222.824352113861,2876.0096742716196,2896.6268345919016
40,1362.7676561988017,4222.824352113861,4243.959284393448,2860.056695915059,2881.191628194646
41,1419.401113928482,4243.959284393448,4266.467313615936,2824.5581704649658,2847.066199687454
42,1438.57198315308,4266.467313615936,4289.207495538849,2827.8953304628562,2850.635512385769
43,1515.1814078602679,4289.207495538849,4310.392668335098,2774.026087678581,2795.2112604748304
44,1562.7436359454466,4310.392668335098,4332.262729732651,2747.6490323896514,2769.519093787204
45,1584.1161587892263,4332.262729732651,4353.311397640366,2748.146570943424,2769.195238851139
46,1588.2064731017965,4353.311397640366,4376.829194633621,2765.1049245385693,2788.622721531825
47,1605.5964044412246,4376.829194633621,4399.601994363922,2771.2327901923964,2794.0055899226973
48,1634.033261563361,4399.601994363922,4421.569787113327,2765.568732800561,2787.536525549966
49,1646.8480565113164,4421.569787113327,4443.526506988663,2774.7217306020107,2796.6784504773464
50,1656.160331587444,4443.526506988663,4466.343795148987,2787.3661754012187,2810.183463561543
51,1682.6349034634864,4466.343795148987,4490.603655664581,2783.7088916855005,2807.968752201095
52,1701.391732175887,4490.603655664581,4511.950231878418,2789.211923488694,2810.5584997025308
53,1722.1344867556495,4511.950231878418,4532.817144481796,2789.8157451227685,2810.6826577261468
54,1767.8608281321585,4532.817144481796,4554.514539091248,2764.9563163496377,2786.653710959089
55,1781.0527779979216,4554.514539091248,4576.233425943512,2773.461761093326,2795.1806479455904
56,1833.090371420756,4576.233425943512,4600.274706689972,2743.143054522756,2767.184335269216
57,1886.924206361208,4600.274706689972,4623.65207633223,2713.3505003287637,2736.7278699710214
58,1960.832831556133,4623.65207633223,4645.465484468597,2662.8192447760966,2684.6326529124644
59,1995.0904613128655,4645.465484468597,4666.960739462036,2650.375023155732,2671.8702781491706
60,2065.918749219056,4666.960739462036,4689.41856869902,2601.0419902429803,2623.4998194799646
61,2072.1502000430414,4689.41856869902,4710.602426855225,2617.268368655979,2638.452226812183
62,2176.343002524607,4710.602426855225,4733.52443346228,2534.2594243306175,2557.181430937673
63,2185.507658118538,4733.52443346228,4754.971526949066,2548.016775343742,2569.463868830528
64,2199.4977257671203,4754.971526949066,4775.998302786011,2555.473801181946,2576.5005770188905
65,2266.0046066980285,4775.998302786011,4797.2985165997925,2509.9936960879822,2531.293909901764
66,2326.2897540019817,4797.2985165997925,4819.236042825836,2471.008762597811,2492.9462888238545
67,2353.9440156663295,4819.236042825836,4840.287539093155,2465.2920271595067,2486.3435234268254
68,2379.2203457292703,4840.287539093155,4863.062855569977,2461.0671933638846,2483.8425098407065
69,2410.202815416132,4863.062855569977,4885.64165958609,2452.8600401538447,2475.438844169958
70,2427.5249212527015,4885.64165958609,4907.150749294418,2458.1167383333886,2479.625828041717
71,2442.672368179449,4907.150749294418,4928.592727272171,2464.478381114969,2485.920359092722
72,2445.9667200813988,4928.592727272171,4950.181341497559,2482.6260071907723,2504.21462141616
73,2466.9391925506293,4950.181341497559,4971.122378914017,2483.2421489469293,2504.1831863633874
74,2500.0918663243788,4971.122378914017,4994.0713859483185,2471.030512589638,2493.9795196239397
75,2544.751386509972,4994.0713859483185,5015.845801679749,2449.3199994383467,2471.0944151697768
76,2566.6682151939417,5015.845801679749,5039.5622309133,2449.177586485807,2472.894015719358
77,2586.2756409087187,5039.5622309133,5062.83727916922,2453.286590004581,2476.5616382605012
78,2642.5937032526417,5062.83727916922,5085.7752297803345,2420.2435759165783,2443.1815265276928
79,2678.32123165191,5085.7752297803345,5107.303300707001,2407.4539981284247,2428.982069055091
80,2724.0551175282467,5107.303300707001,5130.064808933395,2383.248183178754,2406.0096914051487
81,2751.736505459999,5130.064808933395,5151.985902397293,2378.3283034733963,2400.249396937294
82,2762.278297960752,5151.985902397293,5174.418929426331,2389.7076044365413,2412.1406314655787
83,2776.6732197879705,5174.418929426331,5197.837043611664,2397.74570963836,2421.1638238236933
84,2814.6026399725856,5197.837043611664,5219.631787387985,2383.234403639078,2405.0291474153996
85,2836.6062593042925,5219.631787387985,5242.032750694412,2383.0255280836927,2405.4264913901197
86,2884.05305273544,5242.032750694412,5263.414821235794,2357.9796979589723,2379.361768500354
87,2893.8431275767516,5263.414821235794,5284.554004518646,2369.5716936590425,2390.7108769418946
88,2914.387778756625,5284.554004518646,5306.878015606064,2370.1662257620214,2392.490236849439
89,3013.3249287497333,5306.878015606064,5328.049488393921,2293.5530868563305,2314.7245596441876
90,3030.3114434581335,5328.049488393921,5351.388775913376,2297.7380449357875,2321.0773324552424
91,3062.3969761017597,5351.388775913376,5373.6916418954315,2288.991799811616,2311.294665793672
92,3081.9599696276737,5373.6916418954315,5395.578069059509,2291.731672267758,2313.6180994318356
93,3107.3410811422877,5395.578069059509,5419.385706035751,2288.2369879172215,2312.0446248934636
94,3155.80158226135,5419.385706035751,5440.081821767944,2263.584123774401,2284.280239506594
95,3162.880898493785,5440.081821767944,5461.836610405106,2277.2009232741593,2298.9557119113206
96,3183.801932524457,5461.836610405106,5482.611029712814,2278.034677880649,2298.8090971883576
97,3277.292031287515,5482.611029712814,5503.640986292023,2205.3189984252995,2226.348955004508
98,3318.922653211196,5503.640986292023,5526.743842451233,2184.7183330808266,2207.821189240037
99,3330.300295440811,5526.743842451233,5547.204111663956,2196.4435470104218,2216.9038162231445
